# wq-048 backfill report
_Generated 2026-05-02T05:56:48Z_


## Backfill diff — every entity × year with populated ARR
_APPLY MODE — entities.json mutated_

Slug                    Year      Existing      Engine    Resolved        Δ%  Method                  Profile       Origin
----------------------  ------  ----------  ----------  ----------  --------  ----------------------  ------------  ------------------------------
openai                  2024        $3.60B      $2.58B      $2.58B    -28.3%  ending_x_0.60           openai        consensus_engine_derived
openai                  2025        $4.30B      $9.31B      $9.31B   +116.6%  logarithmic_mean        openai        consensus_engine_derived
openai                  2026             —     $18.94B     $18.94B         —  simple_average          openai        consensus_engine_derived
openai                  2030             —    $144.62B    $144.62B         —  ending_x_0.60           openai        consensus_engine_derived
anthropic               2024        $1.50B      $1.30B      $1.30B    -13.4%  ending_x_0.60           anthropic     consensus_engine_derived
anthropic               2025        $4.50B      $3.34B      $4.71B     +4.7%  logarithmic_mean        anthropic     editorial_override
anthropic               2026        $6.00B     $10.54B     $10.54B    +75.7%  logarithmic_mean        anthropic     consensus_engine_derived
google                  2025             —      $2.25B      $2.25B         —  ending_x_0.60           google        consensus_engine_derived
deepseek                2025             —      $0.16B      $0.16B         —  ending_x_0.60           _default      consensus_engine_derived
mistral                 2025             —      $0.22B      $0.22B         —  ending_x_0.60           _default      consensus_engine_derived
xai                     2025             —      $0.27B      $0.27B         —  ending_x_0.60           _default      consensus_engine_derived
minimax                 2025             —      $0.08B      $0.08B         —  ending_x_0.60           _default      consensus_engine_derived
moonshot                2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
coreweave               2025             —      $1.02B      $1.02B         —  ending_x_0.60           _default      consensus_engine_derived
lambda                  2025             —      $0.27B      $0.27B         —  ending_x_0.60           _default      consensus_engine_derived
together                2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
github-copilot          2025             —      $0.89B      $0.89B         —  ending_x_0.60           _default      consensus_engine_derived
cursor-(anysphere)      2025             —      $0.54B      $0.54B         —  ending_x_0.60           _default      consensus_engine_derived
perplexity              2025             —      $0.08B      $0.08B         —  ending_x_0.60           _default      consensus_engine_derived
perplexity              2026             —     $55.20B     $55.20B         —  logarithmic_mean        _default      consensus_engine_derived
replit                  2025             —      $0.14B      $0.14B         —  ending_x_0.60           _default      consensus_engine_derived
cognition-(devin)       2025             —      $0.08B      $0.08B         —  ending_x_0.60           _default      consensus_engine_derived
together-ai             2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
lovable                 2025             —      $0.22B      $0.22B         —  ending_x_0.60           _default      consensus_engine_derived
characterai             2025             —      $0.08B      $0.08B         —  ending_x_0.60           _default      consensus_engine_derived
elevenlabs              2025             —      $0.18B      $0.18B         —  ending_x_0.60           _default      consensus_engine_derived
wrtn-technologies       2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
micro1                  2025             —      $0.13B      $0.13B         —  ending_x_0.60           _default      consensus_engine_derived
midjourney              2025             —      $0.16B      $0.16B         —  ending_x_0.60           _default      consensus_engine_derived
harvey-ai               2025             —      $0.10B      $0.10B         —  ending_x_0.60           _default      consensus_engine_derived
monica-ai               2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
jasper                  2025             —      $0.07B      $0.07B         —  ending_x_0.60           _default      consensus_engine_derived
glean                   2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
descript                2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
yellowai                2025             —      $0.04B      $0.04B         —  ending_x_0.60           _default      consensus_engine_derived
intercom-fin            2025             —      $0.03B      $0.03B         —  ending_x_0.60           _default      consensus_engine_derived
writer                  2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
blackboxai              2025             —      $0.02B      $0.02B         —  ending_x_0.60           _default      consensus_engine_derived
deepl                   2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
falai                   2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
salesforce-agentforce   2025             —      $0.16B      $0.16B         —  ending_x_0.60           _default      consensus_engine_derived
clay                    2025             —      $0.03B      $0.03B         —  ending_x_0.60           _default      consensus_engine_derived
gamma                   2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
mercor                  2025             —      $0.04B      $0.04B         —  ending_x_0.60           _default      consensus_engine_derived
synthesia               2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
genspark                2025             —      $0.03B      $0.03B         —  ending_x_0.60           _default      consensus_engine_derived
chai-research           2025             —      $0.02B      $0.02B         —  ending_x_0.60           _default      consensus_engine_derived
openart                 2025             —      $0.04B      $0.04B         —  ending_x_0.60           _default      consensus_engine_derived
abridge                 2025             —      $0.03B      $0.03B         —  ending_x_0.60           _default      consensus_engine_derived
photoroom               2025             —      $0.03B      $0.03B         —  ending_x_0.60           _default      consensus_engine_derived
runway                  2025             —      $0.05B      $0.05B         —  ending_x_0.60           _default      consensus_engine_derived
fathom                  2025             —      $0.01B      $0.01B         —  ending_x_0.60           _default      consensus_engine_derived
retell-ai               2025             —      $0.02B      $0.02B         —  ending_x_0.60           _default      consensus_engine_derived
cal-ai                  2025             —      $0.01B      $0.01B         —  ending_x_0.60           _default      consensus_engine_derived

## Summary
  Total entity-years derived:                    54
  With existing collected_revenue value:         5
  Engine output within ±15% of existing:         2
  Editorial overrides applied:                   1
  Wrote (missing OR outside band OR override):   53
  Skipped (existing within band, no override):   1
